IDADE,RENDA_ANUAL,MORADIA,TEMPO_DE_SERVICO,MOTIVO_EMPRESTIMO,SCORE_CREDITO,VALOR_EMPRESTIMO,TAXA_DE_JUROS,SITUACAO_INADIMPLENCIA,COMPROMETIMENTO_DA_RENDA,HISTORICO_DE_INADIMPLENCIA,HISTORICO_DE_CREDITO,CADASTRO_COMPLETO,OBSERVACOES
23,38400,alugada,5,educacao,B,13000,11.71,1,0.34,n,3,sim,
22,56000,hipoteca,5,saude,E,15000,16,1,0.27,s,4,sim,
23,74000,hipoteca,4,empreendimento,B,20000,11.48,0,0.27,n,4,sim,
23,38000,alugada,0,saude,A,7500,7.88,0,0.2,n,4,sim,
23,32400,alugada,4,saude,A,4500,7.49,0,0.14,n,3,sim,
22,40000,alugada,0,empreendimento,A,6000,7.66,0,0.15,n,2,sim,
24,23000,alugada,1,quitacao_debitos,B,7200,12.69,1,0.31,n,2,sim,
22,66000,propria,6,educacao,A,5000,7.9,0,0.08,n,4,sim,
23,66000,alugada,3,educacao,A,3000,5.99,0,0.05,n,2,sim,
25,55000,hipoteca,10,educacao,C,15000,NULL,0,0.27,s,3,não,
22,48000,alugada,6,quitacao_debitos,A,16500,8.9,1,0.34,n,3,sim,
41,69000,alugada,15,quitacao_debitos,D,4000,16.29,1,0.06,n,13,sim,
23,50000,hipoteca,7,empreendimento,B,8600,11.26,0,0.17,n,3,sim,
24,117996,hipoteca,6,empreendimento,E,18000,17.04,0,0.15,s,3,sim,
32,30000,hipoteca,6,empreendimento,A,10000,7.51,0,0.33,n,9,sim,
33,40000,alugada,2,quitacao_debitos,A,4000,7.88,0,0.1,n,10,sim,
27,55200,propria,4,uso_pessoal,B,4000,NULL,0,0.07,n,10,não,
28,94773,alugada,3,reforma,B,6000,11.83,0,0.06,n,10,sim,
25,40000,propria,3,educacao,D,12000,14.83,0,0.3,n,4,sim,
26,62000,alugada,10,empreendimento,B,12000,12.69,0,0.19,n,3,sim,
24,35000,alugada,8,quitacao_debitos,C,10000,13.48,0,0.29,n,4,sim,
30,27996,alugada,5,uso_pessoal,B,8000,10.99,0,0.29,n,8,sim,
28,39000,alugada,6,saude,D,8000,14.91,1,0.21,s,7,sim,
22,94000,hipoteca,6,uso_pessoal,C,35000,15.23,0,0.37,s,4,sim,
29,230000,hipoteca,NULL,saude,A,8500,7.49,0,0.04,n,10,não,
22,125000,hipoteca,6,empreendimento,B,10000,NULL,0,0.08,n,2,não,
28,60000,hipoteca,12,saude,C,14400,13.49,0,0.24,n,7,sim,
22,45000,alugada,3,saude,A,5800,7.88,0,0.13,n,3,sim,
45,42320,hipoteca,6,empreendimento,C,7475,13.49,0,0.18,s,15,sim,
38,41280,alugada,3,quitacao_debitos,C,6000,13.61,0,0.15,s,17,sim,
24,184992,alugada,7,reforma,D,22000,14.46,0,0.12,s,4,sim,
25,12000,alugada,0,educacao,B,1000,10.65,0,0.08,n,2,sim,
26,41784,alugada,0,educacao,B,11500,10.95,0,0.28,n,4,sim,
24,52800,alugada,8,uso_pessoal,A,9000,7.49,0,0.17,n,4,sim,
23,40000,alugada,7,educacao,C,10000,NULL,0,0.25,n,2,não,
40,55000,hipoteca,2,empreendimento,A,3600,6.39,0,0.07,n,14,sim,
26,62000,,0,uso_pessoal,,3250,NULL,1,0.41,n,4,não,"Cálculo do comprometimento da renda diferente do apontado; "
40,50000,hipoteca,1,uso_pessoal,B,12000,NULL,0,0.24,n,17,não,
46,27600,alugada,1,saude,B,5050,NULL,0,0.18,n,11,não,
25,95000,hipoteca,5,quitacao_debitos,B,18000,10.99,0,0.19,n,3,sim,
24,100000,hipoteca,NULL,quitacao_debitos,B,18000,NULL,0,0.23,n,4,não,"Cálculo do comprometimento da renda diferente do apontado; "
34,54072,hipoteca,12,uso_pessoal,B,7000,11.89,0,0.13,n,9,sim,
24,48000,alugada,6,educacao,,6000,10.62,0,0.1,,2,não,"Cálculo do comprometimento da renda diferente do apontado; "
22,27000,alugada,3,quitacao_debitos,A,2800,7.51,1,0.1,n,3,sim,
24,52728,alugada,4,uso_pessoal,A,5000,7.74,0,0.09,n,4,sim,
24,59000,hipoteca,5,uso_pessoal,A,8000,6.54,0,0.14,n,4,sim,
25,112000,alugada,7,quitacao_debitos,B,5000,10.25,0,0.04,n,3,sim,
23,48000,alugada,3,quitacao_debitos,A,8000,8.49,0,0.17,n,2,sim,
22,50004,alugada,0,empreendimento,B,25000,10.36,1,0.5,n,2,sim,
31,72250,outro,6,saude,F,25000,17.03,1,0.29,s,5,sim,"Cálculo do comprometimento da renda diferente do apontado; "
22,60000,hipoteca,1,educacao,A,4800,7.49,0,0.08,n,3,sim,
32,122004,hipoteca,13,saude,A,10000,8.59,0,0.08,n,10,sim,
27,39996,alugada,3,uso_pessoal,D,10000,15.37,0,0.25,s,8,sim,
35,67600,alugada,7,uso_pessoal,B,16000,11.58,0,0.24,n,5,sim,
21,20000,alugada,0,saude,A,2000,NULL,0,0.1,n,3,não,
22,52800,alugada,3,uso_pessoal,D,7000,17.58,0,0.13,n,3,sim,
23,47500,alugada,5,saude,C,17500,13.61,1,0.37,n,4,sim,
28,37000,hipoteca,3,reforma,C,6000,12.53,1,0.16,n,9,sim,
27,24000,alugada,2,saude,A,1450,NULL,0,0.06,n,9,não,
21,25000,propria,0,saude,B,8800,9.33,0,0.35,n,3,sim,
31,70000,hipoteca,2,saude,B,4625,10.62,0,0.07,n,6,sim,
27,180000,alugada,4,uso_pessoal,B,8000,10.37,0,0.04,n,5,sim,
23,44400,alugada,4,empreendimento,D,5000,16.29,1,0.11,s,4,sim,
28,90000,hipoteca,13,reforma,A,1800,7.51,0,0.02,n,5,sim,
24,58668,alugada,8,saude,D,6000,15.05,1,0.1,s,4,sim,
44,28000,alugada,15,educacao,A,8000,7.49,0,0.29,n,11,sim,
NULL,30000,alugada,5,reforma,A,18325,7.49,0,0.11,,3,não,"Cálculo do comprometimento da renda diferente do apontado; "
36,192000,outro,11,empreendimento,B,20000,11.48,0,0.1,n,17,sim,
22,41000,hipoteca,4,empreendimento,A,6000,8.59,0,0.15,n,4,sim,
23,54000,alugada,7,educacao,C,5000,12.84,1,0.09,s,2,sim,
23,75000,hipoteca,7,uso_pessoal,B,4950,10.99,0,0.07,n,3,sim,
22,75000,alugada,6,educacao,B,24000,12.69,1,0.32,n,4,sim,
24,54996,alugada,0,reforma,B,5000,10.39,0,0.09,n,2,sim,
26,45000,alugada,3,saude,B,1500,10.25,0,0.03,n,4,sim,
36,37000,hipoteca,5,saude,E,3000,18.39,1,0.08,s,15,sim,
23,NULL,,2,educacao,D,10000,11.14,0,0.11,n,8,não,
35,60000,hipoteca,2,quitacao_debitos,A,4000,6.03,0,0.07,n,7,sim,
30,39000,alugada,NULL,quitacao_debitos,A,1500,7.51,1,0.04,n,9,não,
25,35000,alugada,5,empreendimento,B,9600,9.91,0,0.27,n,2,sim,
31,30000,alugada,2,uso_pessoal,D,4800,14.84,1,0.16,s,8,sim,
22,38000,hipoteca,5,educacao,B,4800,9.99,0,0.13,n,3,sim,
39,64000,alugada,9,reforma,C,4800,12.73,0,0.07,s,11,sim,"Cálculo do comprometimento da renda diferente do apontado; "
22,38000,alugada,2,educacao,C,1500,13.22,0,0.04,s,2,sim,
25,115000,hipoteca,4,empreendimento,A,20000,6.91,0,0.17,n,2,sim,
25,86244,hipoteca,NULL,educacao,B,8000,11.71,0,0.09,n,4,não,
28,65007,hipoteca,4,quitacao_debitos,F,25000,18.62,1,0.38,s,9,sim,
23,43200,alugada,2,educacao,D,9100,13.24,1,0.21,n,3,sim,
25,100000,hipoteca,9,reforma,B,25000,11.48,0,0.25,n,3,sim,
21,76800,hipoteca,5,uso_pessoal,D,8000,14.96,0,0.1,s,3,sim,
21,50000,alugada,2,educacao,D,18000,14.74,1,0.36,n,2,sim,
22,33000,alugada,3,saude,A,4800,7.49,0,0.15,n,4,sim,
38,55000,alugada,0,educacao,C,6500,11.03,0,0.12,s,12,sim,
25,44500,alugada,0,empreendimento,B,3900,10.99,0,0.09,n,2,sim,
38,48000,hipoteca,23,saude,D,9000,15.21,1,0.19,s,15,sim,
22,70000,hipoteca,3,quitacao_debitos,B,10000,10.36,0,0.14,n,2,sim,
33,59000,alugada,17,saude,B,9600,9.91,0,0.16,n,8,sim,
33,35000,hipoteca,15,saude,C,12000,13.11,0,0.34,s,7,sim,
34,67392,hipoteca,0,quitacao_debitos,C,15000,13.85,1,0.22,s,8,sim,
27,37000,alugada,NULL,saude,B,9000,11.11,0,0.24,n,5,não,
29,106800,alugada,0,quitacao_debitos,A,15000,NULL,0,0.14,n,6,não,
24,32000,propria,3,reforma,B,15000,NULL,0,0.47,n,3,não,
22,37000,hipoteca,2,quitacao_debitos,A,13000,7.88,0,0.35,n,4,sim,
24,60000,alugada,0,reforma,B,6000,11.48,0,0.1,n,2,sim,
21,36000,alugada,3,saude,C,10000,13.22,0,0.28,n,4,sim,
35,62217,alugada,15,educacao,A,3700,NULL,0,0.06,n,8,não,
25,82000,alugada,5,saude,C,6000,NULL,0,0.07,n,3,não,
23,34000,alugada,1,empreendimento,C,9500,NULL,1,0.28,n,3,não,
35,80000,alugada,19,empreendimento,D,25000,14.09,1,0.31,s,10,sim,
28,39996,alugada,10,educacao,D,5525,14.54,0,0.14,n,10,sim,
24,47211,propria,8,empreendimento,B,10000,11.83,0,0.21,n,3,sim,
24,90000,hipoteca,7,educacao,B,35000,10.65,0,0.39,n,3,sim,
24,46256,alugada,7,educacao,B,10000,11.48,0,0.22,n,3,sim,
23,76042,alugada,6,reforma,D,20000,15.05,1,0.26,s,4,sim,
NULL,45000,,3,educacao,B,16000,11.71,1,0.38,n,3,não,"Cálculo do comprometimento da renda diferente do apontado; "
47,47000,hipoteca,9,uso_pessoal,A,7500,6.62,0,0.16,n,12,sim,
29,150000,hipoteca,12,uso_pessoal,A,7000,9.32,0,0.05,n,6,sim,
22,60000,alugada,6,empreendimento,B,2000,10.99,NULL,0.05,,9,não,"Cálculo do comprometimento da renda diferente do apontado; "
28,21000,alugada,6,educacao,A,6250,7.9,0,0.3,n,7,sim,
31,138000,alugada,0,empreendimento,D,25000,13.24,1,0.18,n,7,sim,
31,67000,alugada,0,saude,C,14575,NULL,1,NULL,,4,não,
44,95000,hipoteca,1,uso_pessoal,B,21200,9.91,0,0.22,n,14,sim,
23,39000,alugada,1,empreendimento,D,7000,16.77,1,0.18,n,3,sim,
26,59000,alugada,2,empreendimento,E,18000,16,1,0.31,n,4,sim,
23,45000,alugada,8,educacao,B,19600,9.91,1,0.44,n,2,sim,
23,45000,alugada,3,educacao,B,3600,11.49,0,0.08,n,3,sim,
23,20000,alugada,6,uso_pessoal,C,4000,12.23,0,0.2,s,2,sim,
25,100000,propria,4,saude,C,15000,11.28,0,0.15,n,4,sim,
23,29000,alugada,0,empreendimento,F,8000,18.3,1,0.28,n,2,sim,
46,60000,alugada,10,saude,C,15000,13.49,0,0.25,n,17,sim,
27,34000,alugada,3,saude,D,10000,16.77,1,0.29,n,7,sim,
24,54000,propria,8,educacao,C,1200,13.11,0,0.02,s,3,sim,
27,57720,alugada,12,quitacao_debitos,C,15000,NULL,0,0.26,n,6,não,
39,50000,alugada,8,uso_pessoal,B,12000,11.71,0,0.24,n,15,sim,
28,350000,alugada,1,quitacao_debitos,B,20000,NULL,0,0.06,n,9,não,
31,140000,hipoteca,5,,B,14400,NULL,0,0.36,n,3,não,"Cálculo do comprometimento da renda diferente do apontado; "
22,86004,alugada,6,educacao,C,8000,13.92,0,0.09,s,2,sim,
21,95000,hipoteca,5,empreendimento,A,15000,NULL,0,0.16,n,2,não,
31,50000,alugada,0,empreendimento,A,4000,6.62,0,0.08,n,8,sim,
23,37000,alugada,4,quitacao_debitos,A,6400,NULL,0,0.17,n,4,não,
23,38000,hipoteca,5,uso_pessoal,A,5400,7.9,0,0.14,n,3,sim,
26,83004,alugada,7,empreendimento,A,5450,7.9,0,0.07,n,3,sim,
26,55000,alugada,10,saude,A,6000,5.42,0,0.11,n,4,sim,
30,20520,alugada,0,quitacao_debitos,B,5000,9.99,0,0.24,n,5,sim,
24,96000,hipoteca,2,empreendimento,B,4200,NULL,0,0.04,n,4,não,
24,25000,,6,quitacao_debitos,C,NULL,10.78,0,0.1,s,13,não,"Histórico de crédito incompatível com a idade;"
23,55000,hipoteca,4,empreendimento,A,8000,7.49,0,0.15,n,2,sim,
29,27840,alugada,0,educacao,E,8575,19.42,1,0.31,s,10,sim,
28,75000,alugada,0,empreendimento,A,6000,7.49,0,0.08,n,6,sim,
28,39000,alugada,3,,B,NULL,NULL,0,0.16,n,9,não,
36,40000,alugada,2,educacao,C,11250,14.27,0,0.28,n,12,sim,
25,93000,alugada,3,reforma,B,12000,NULL,0,0.13,n,3,não,
34,51621,hipoteca,5,uso_pessoal,B,3500,11.49,0,0.07,n,6,sim,
26,43000,alugada,3,educacao,C,2500,13.49,0,0.06,n,2,sim,
21,45000,alugada,3,saude,A,9000,8.49,0,0.2,n,3,sim,
28,96000,alugada,5,empreendimento,B,5000,11.12,0,0.05,n,7,sim,
22,105000,hipoteca,NULL,,A,13000,14.11,0,0.2,n,3,não,"Cálculo do comprometimento da renda diferente do apontado; "
37,40000,alugada,1,empreendimento,B,3000,11.71,0,0.07,n,15,sim,"Cálculo do comprometimento da renda diferente do apontado; "
42,55000,hipoteca,1,empreendimento,B,16500,12.69,0,0.3,n,11,sim,
32,385000,hipoteca,3,empreendimento,A,19925,7.9,0,0.05,n,9,sim,
25,59000,hipoteca,9,quitacao_debitos,A,5000,6.03,1,0.08,n,2,sim,
22,45996,alugada,6,educacao,B,2000,11.36,0,0.04,n,4,sim,
22,41000,hipoteca,6,quitacao_debitos,A,7000,7.9,1,0.17,n,4,sim,
30,65600,propria,5,empreendimento,C,4000,12.68,0,0.06,s,7,sim,
23,57700,hipoteca,7,uso_pessoal,B,3500,10.65,0,0.06,n,2,sim,
27,44000,hipoteca,3,educacao,C,6400,13.85,0,0.15,n,10,sim,
31,40000,propria,0,saude,D,15000,15.31,0,0.38,s,10,sim,
26,54200,hipoteca,3,reforma,A,7000,7.49,0,0.13,n,3,sim,
26,102000,alugada,5,saude,A,10000,8.59,0,0.1,n,2,sim,
26,67000,alugada,9,empreendimento,A,8000,7.14,0,0.12,n,2,sim,
28,60000,hipoteca,3,educacao,B,35000,10.59,0,0.58,n,6,sim,
31,165000,hipoteca,3,reforma,C,15000,12.61,0,0.09,n,7,sim,
23,55000,hipoteca,1,empreendimento,B,1500,11.49,0,0.03,n,3,sim,
25,45600,alugada,3,saude,D,12250,14.84,1,0.27,n,3,sim,
24,18200,alugada,8,educacao,A,4500,8.94,1,0.25,n,2,sim,
22,86000,hipoteca,7,educacao,C,18000,13.48,1,0.21,n,2,sim,
27,60000,propria,2,empreendimento,B,10000,10.38,0,0.17,n,6,sim,
24,49000,alugada,8,educacao,A,7000,7.49,1,0.14,n,3,sim,
25,50000,hipoteca,9,educacao,A,5000,5.79,0,0.1,n,2,sim,
24,40000,propria,8,reforma,C,7500,13.22,0,0.19,n,3,sim,
25,19200,alugada,6,educacao,E,4000,19.03,1,0.21,s,4,sim,
25,75000,alugada,7,empreendimento,D,8800,14.59,0,0.12,n,3,sim,
33,135000,hipoteca,13,quitacao_debitos,A,12000,7.9,0,0.09,n,7,sim,
23,119496,hipoteca,7,educacao,A,12000,7.88,0,0.1,n,4,sim,
27,52000,hipoteca,11,reforma,A,6000,7.49,0,0.12,n,8,sim,
23,60000,hipoteca,7,quitacao_debitos,B,6000,9.45,0,0.1,n,2,sim,
26,48000,alugada,5,saude,A,7000,5.79,0,0.15,n,3,sim,
31,30000,propria,0,reforma,C,5000,12.53,0,0.17,s,6,sim,
35,37440,alugada,2,saude,B,8000,10.99,0,0.21,n,7,sim,
30,33300,hipoteca,2,saude,A,1600,7.4,0,0.05,n,5,sim,
40,50000,hipoteca,1,educacao,B,12000,NULL,0,0.24,n,15,não,
38,74237,hipoteca,4,quitacao_debitos,C,18000,14.35,0,0.24,n,17,sim,
30,74000,hipoteca,14,empreendimento,C,14000,13.92,0,0.19,s,10,sim,
29,75000,alugada,2,saude,A,6000,8.49,0,0.08,n,6,sim,
31,56000,hipoteca,4,saude,A,8000,8.59,0,0.14,n,6,sim,
23,90000,hipoteca,7,uso_pessoal,D,15000,15.31,0,0.17,s,4,sim,
33,80000,hipoteca,9,empreendimento,B,6000,11.11,0,0.07,n,7,sim,"Cálculo do comprometimento da renda diferente do apontado; "
53,54000,alugada,NULL,saude,D,10000,14.59,1,0.19,s,27,não,
25,31200,hipoteca,9,reforma,D,2400,17.58,1,0.08,s,4,sim,
23,120000,hipoteca,7,quitacao_debitos,B,15000,NULL,0,0.13,n,4,não,
25,42000,alugada,3,empreendimento,A,18000,6.17,1,0.43,n,2,sim,
23,65000,alugada,7,educacao,C,6000,15.23,0,0.09,n,3,sim,
39,32000,alugada,NULL,empreendimento,A,NULL,11.71,0,0.12,n,3,não,
26,37820,hipoteca,3,quitacao_debitos,A,6300,NULL,0,0.17,n,2,não,
26,66000,hipoteca,2,reforma,D,12000,NULL,1,0.18,n,3,não,
24,53500,alugada,0,reforma,A,9800,6.17,0,0.18,n,4,sim,
25,75000,hipoteca,4,empreendimento,C,12000,13.49,0,0.16,n,2,sim,
NULL,47000,propria,8,empreendimento,A,6000,7.9,0,NULL,n,10,não,
31,50000,alugada,13,quitacao_debitos,D,8000,14.09,1,0.16,s,8,sim,
25,30000,alugada,4,saude,C,1400,13.11,0,0.05,n,2,sim,
27,44000,hipoteca,0,educacao,C,6000,13.23,1,0.14,s,6,sim,
28,30000,alugada,6,empreendimento,C,4200,15.23,0,0.14,s,7,sim,
22,51996,hipoteca,6,uso_pessoal,A,6000,7.88,0,0.12,n,4,sim,
24,53004,hipoteca,1,quitacao_debitos,B,2400,10.36,0,0.05,n,2,sim,
23,114000,hipoteca,7,educacao,C,8000,12.68,0,0.07,s,3,sim,
23,65000,hipoteca,1,uso_pessoal,B,10800,10,0,0.17,n,4,sim,
32,16800,alugada,0,uso_pessoal,C,5000,14.35,1,0.3,s,7,sim,
25,120000,hipoteca,7,saude,A,5600,NULL,1,0.08,,4,não,"Cálculo do comprometimento da renda diferente do apontado; "
40,81120,hipoteca,1,educacao,B,24000,9.25,0,0.3,n,15,sim,
29,100000,propria,13,uso_pessoal,A,10000,6.92,0,0.1,n,8,sim,
27,46000,hipoteca,3,saude,A,18000,7.9,0,0.39,n,8,sim,
24,33600,alugada,0,uso_pessoal,C,7000,13.61,0,0.21,s,4,sim,
22,51000,alugada,6,educacao,C,7500,NULL,0,0.15,n,4,não,
37,45000,alugada,1,saude,A,7200,9.63,0,0.16,n,11,sim,
21,35000,alugada,6,empreendimento,A,10000,7.66,0,0.29,n,3,sim,
24,85000,hipoteca,4,quitacao_debitos,B,15000,9.88,0,0.18,n,3,sim,
25,75000,hipoteca,4,empreendimento,B,24000,9.91,0,0.32,n,2,sim,
27,85000,hipoteca,8,empreendimento,B,7500,10.99,0,0.09,n,10,sim,
22,34404,alugada,2,quitacao_debitos,D,7500,15.05,1,0.22,s,2,sim,
24,48000,alugada,4,quitacao_debitos,B,15200,11.48,1,0.32,n,3,sim,
38,30000,hipoteca,8,uso_pessoal,C,10000,11.22,0,0.33,s,17,sim,
26,76160,hipoteca,10,educacao,A,7400,7.51,0,0.1,n,2,sim,
35,38469,alugada,0,reforma,C,10000,12.23,1,0.26,s,7,sim,
24,55000,hipoteca,8,quitacao_debitos,A,10000,5.79,0,0.18,n,3,sim,
38,60000,propria,2,empreendimento,D,6000,14.96,0,0.1,s,14,sim,
21,27600,alugada,2,educacao,B,3000,11.49,0,0.11,n,4,sim,
35,36000,hipoteca,4,educacao,B,16000,10.99,1,0.44,n,8,sim,
22,48000,alugada,1,saude,C,1600,14.26,0,0.03,n,4,sim,
42,39996,hipoteca,2,reforma,A,2500,5.42,0,0.06,n,12,sim,
38,51000,alugada,3,reforma,B,17000,10.38,1,0.33,n,11,sim,
29,18000,alugada,5,reforma,B,5375,12.69,1,0.3,n,9,sim,
28,35000,alugada,12,educacao,D,3200,15.21,0,0.09,n,6,sim,
23,120000,hipoteca,3,saude,B,30000,11.49,0,0.25,n,4,sim,
26,45600,alugada,0,saude,B,7000,9.99,0,0.15,n,3,sim,
23,62000,hipoteca,2,empreendimento,A,5000,5.42,0,0.08,n,3,sim,
31,150000,alugada,1,reforma,B,15000,NULL,0,0.1,n,10,não,
28,33000,alugada,0,empreendimento,D,3200,14.42,1,0.1,s,6,sim,
24,39000,hipoteca,1,educacao,D,12000,14.11,1,0.31,n,2,sim,
28,12000,propria,NULL,saude,B,2000,10.75,1,0.17,n,6,não,
36,34000,alugada,2,uso_pessoal,C,6000,13.57,0,0.18,n,16,sim,
29,14400,alugada,3,educacao,D,1000,16.32,1,0.07,s,8,sim,
38,91200,hipoteca,0,reforma,C,9000,12.68,0,0.1,n,16,sim,
24,20796,alugada,2,empreendimento,A,7500,7.88,1,0.36,n,3,sim,
23,75000,hipoteca,4,saude,C,16800,13.47,0,0.22,n,4,sim,
29,96000,hipoteca,4,quitacao_debitos,C,15000,NULL,0,0.16,n,6,não,
25,44000,alugada,9,saude,C,8500,14.27,1,0.19,n,4,sim,
26,39900,alugada,1,quitacao_debitos,B,14000,10.37,1,0.35,n,3,sim,
24,41000,alugada,4,saude,C,15600,12.87,1,0.38,s,3,sim,
35,123000,alugada,2,reforma,E,25000,17.19,1,0.2,n,6,sim,
27,31000,alugada,0,saude,B,4000,10.74,0,0.13,n,7,sim,
39,85000,hipoteca,1,uso_pessoal,A,12000,9.32,0,0.14,n,13,sim,
27,34800,hipoteca,5,uso_pessoal,B,3000,9.91,0,0.09,n,6,sim,
38,31200,hipoteca,6,empreendimento,C,5850,13.49,0,0.19,s,11,sim,
25,60000,hipoteca,2,uso_pessoal,B,1800,12.21,0,0.03,n,2,sim,
22,80000,hipoteca,6,educacao,B,35000,NULL,0,0.44,n,2,não,
40,75000,alugada,6,educacao,A,15000,7.29,0,0.2,n,11,sim,
29,80000,alugada,2,saude,B,30000,12.42,1,0.38,n,9,sim,
23,100000,alugada,4,empreendimento,B,4150,10.65,0,0.04,n,2,sim,
36,25000,hipoteca,0,reforma,B,3000,8.7,0,0.12,n,12,sim,
22,46000,hipoteca,6,uso_pessoal,B,4000,10.37,0,0.09,n,2,sim,
39,44000,hipoteca,2,saude,B,8000,9.63,0,0.18,n,17,sim,
23,92004,alugada,2,quitacao_debitos,B,8000,11.49,0,0.09,n,4,sim,
22,42224,alugada,6,quitacao_debitos,C,3000,13.48,0,0.07,s,2,sim,
26,54400,alugada,2,saude,E,3000,19.42,1,0.05,n,2,sim,"Cálculo do comprometimento da renda diferente do apontado; "
23,29820,alugada,0,educacao,C,6000,14.22,0,0.2,n,3,sim,
23,80000,alugada,3,empreendimento,B,12000,10.59,0,0.15,n,4,sim,
22,50000,alugada,5,uso_pessoal,B,10000,11.71,0,0.2,n,3,sim,
NULL,68686,hipoteca,7,quitacao_debitos,A,18000,14.22,0,0.26,,4,não,
29,45000,hipoteca,4,reforma,C,14000,13.48,0,0.31,s,5,sim,
36,21996,alugada,3,uso_pessoal,D,2400,14.11,0,0.11,n,11,sim,
24,80000,alugada,2,uso_pessoal,C,12000,13.61,0,0.15,s,3,sim,
29,72072,hipoteca,4,quitacao_debitos,A,12000,8.49,0,0.17,n,8,sim,
34,32000,hipoteca,12,reforma,A,2275,6.17,0,0.07,n,6,sim,
22,74000,alugada,4,uso_pessoal,A,5050,5.42,0,0.07,n,3,sim,
26,84191,hipoteca,5,saude,A,9000,6.62,0,0.11,n,4,sim,
31,56160,alugada,1,quitacao_debitos,C,6000,13.98,0,0.11,s,9,sim,
32,51996,alugada,2,quitacao_debitos,A,10000,5.79,0,0.19,n,9,sim,
26,55000,alugada,1,educacao,A,3200,8.49,0,0.06,n,3,sim,
36,54000,hipoteca,5,saude,A,5000,NULL,0,0.09,n,16,não,
29,NULL,hipoteca,3,uso_pessoal,B,18000,8.49,0,0.38,,11,não,
27,46713,hipoteca,3,empreendimento,C,12375,10.91,0,0.26,n,6,sim,
28,56000,alugada,7,quitacao_debitos,F,20000,18.25,1,0.36,s,10,sim,
33,80000,propria,12,reforma,C,9000,11.97,0,0.11,n,7,sim,
26,45000,alugada,2,uso_pessoal,C,10000,NULL,0,0.22,n,3,não,
23,30000,alugada,2,reforma,D,10000,15.31,1,0.33,s,4,sim,
22,87000,alugada,6,uso_pessoal,B,15000,10.62,0,0.17,n,2,sim,
24,81996,alugada,1,quitacao_debitos,C,4000,12.53,0,0.05,n,4,sim,
26,62690,hipoteca,7,saude,B,4400,NULL,0,0.07,n,4,não,
26,55000,alugada,10,educacao,E,9000,16.7,0,0.16,n,3,sim,
22,70000,alugada,5,uso_pessoal,A,13600,7.29,0,0.19,n,4,sim,
22,49600,hipoteca,4,empreendimento,,25000,10.62,0,0.16,n,8,não,"Cálculo do comprometimento da renda diferente do apontado; "
25,32000,alugada,3,quitacao_debitos,A,3000,8.94,0,0.09,n,3,sim,
22,40000,hipoteca,7,educacao,A,14000,7.49,0,0.35,n,3,sim,
21,44000,alugada,5,empreendimento,D,8000,16.29,1,0.18,n,3,sim,
29,42000,hipoteca,6,uso_pessoal,B,6000,11.49,1,0.14,n,9,sim,
28,49000,alugada,0,quitacao_debitos,F,3000,NULL,1,0.06,s,5,não,
23,60000,alugada,4,quitacao_debitos,A,7000,6.03,0,0.12,n,3,sim,
25,54000,hipoteca,NULL,uso_pessoal,D,5000,NULL,0,NULL,s,2,não,
40,33600,alugada,8,educacao,E,19275,14.5,1,0.57,n,11,sim,
24,38700,alugada,2,quitacao_debitos,B,10000,NULL,0,0.26,n,3,não,
29,60000,,7,empreendimento,A,1200,13.8,0,0.03,,8,não,"Cálculo do comprometimento da renda diferente do apontado; "
NULL,68750,,6,quitacao_debitos,A,4800,15.23,0,0.05,s,2,não,"Cálculo do comprometimento da renda diferente do apontado; "
41,28000,propria,9,educacao,A,2000,7.74,0,0.07,n,16,sim,
32,110000,hipoteca,0,empreendimento,B,23000,11.48,0,0.21,n,9,sim,
25,45000,hipoteca,3,educacao,B,6000,11.83,0,0.13,n,2,sim,
22,95000,hipoteca,1,empreendimento,C,7200,12.23,0,0.08,s,4,sim,
30,49110,alugada,2,uso_pessoal,B,19775,12.42,1,0.4,n,9,sim,
26,54000,hipoteca,4,uso_pessoal,A,9600,6.62,0,0.18,n,3,sim,
25,63000,alugada,9,reforma,B,5000,10.74,0,0.08,n,3,sim,
22,48000,alugada,6,quitacao_debitos,C,8000,12.99,0,0.17,s,3,sim,
27,43000,hipoteca,11,empreendimento,A,17500,7.29,0,0.41,n,7,sim,
29,80000,alugada,0,uso_pessoal,B,1500,12.42,0,0.02,n,9,sim,
23,60000,hipoteca,3,uso_pessoal,C,12000,15.27,0,0.2,s,4,sim,
34,70000,alugada,19,saude,B,2400,11.99,0,0.03,n,7,sim,
29,29780,alugada,2,uso_pessoal,D,1500,12.86,1,0.05,s,10,sim,
22,67440,hipoteca,6,educacao,B,5500,10.25,0,0.08,n,4,sim,
25,82000,alugada,2,uso_pessoal,A,9200,6.03,0,0.11,n,3,sim,
28,150000,hipoteca,0,empreendimento,E,25000,15.25,0,0.17,s,8,sim,
29,77367,propria,12,educacao,A,1000,7.37,0,0.01,n,9,sim,
27,90000,alugada,NULL,,A,3000,11.49,0,0.1,n,2,não,"Cálculo do comprometimento da renda diferente do apontado; "
23,59000,hipoteca,7,educacao,A,9000,8.49,0,0.15,n,3,sim,
40,110000,alugada,NULL,reforma,B,7600,NULL,0,NULL,n,7,não,
25,46000,hipoteca,5,saude,B,6000,10.99,1,0.13,n,3,sim,
